Configuration,Max RT Factor,Min RT Factor,Mean RT Factor,Total #packets per agent,#packets per agent per second,Total packet length per agent,Mean packet length per agent per second,Mean CPU Percent,Mean N.O. Threads,Mean Memory Percent
test_lineform_6_drones.py,0.99,0.77,0.9722320117474398,7982.0,61.86415562457908,7033304.0,54511.327137431035,17.95434835685314,13.634918697202012,0.08761482815388949
test_lineform_8_drones.py,0.98,0.69,0.9200997150997187,11454.0,86.08324011444034,11867978.0,89194.5171858648,16.649230446341,12.514901357212816,0.08311923570074929
test_lineform_10_drones.py,0.87,0.6,0.8346324549237197,15711.0,114.79584319464139,19259232.0,140721.7730711743,12.907214525655053,11.864535534722375,0.07963983538985374
test_lineform_12_drones.py,0.81,0.44,0.7517702702702642,20744.583333333332,147.69829590111763,28736268.083333332,204597.8826504594,11.55557945344158,11.504491396761134,0.07889323554589502
